,name,stars_y,text
21,Hash House A Go Go,5,"Let's start by saying this place is serious!  Strap on your appetites boys!!

We ordered the famous Sage Chicken Benedict and The Corned Beef Hash plate.  Most people rave about the Sage Chicken plates so I will let you read their reviews.  I'm so sad that I ordered the Sage Chicken when all I wanted to eat was the Corn Beef Hash plate that sat across the table from me.  I mean the savory flavors that I dream about were not right in front of me.  Seasoned potatoes, red onions, swiss cheese, chives and this corn beef that was amazing.  


This is the place that I have wet dreams about!"
22,Hash House A Go Go,5,unbelievable! try to the sage sausage gravy and eggs!
23,Hash House A Go Go,2,"I had heard so much good stuff about Hash House A Go Go and couldn't wait to try here.  Unfortunately my first experience did not live up to the hype.  The service was great, but what I ordered was not.  I was really excited seeing everyone else in the place getting their big plates of food.  My mouth was actually salivating waiting to get my meal.  What I discovered is that I ordered the wrong thing on the menu.  My entr̩e looked terrible compared to everything else I saw.  I had ordered the Reuben sandwich with fries, and it was one of the funkiest tasting sandwiches I have ever eaten.  It tasted like bad pot roast on toasted, buttered slices of bread.  It was so inedible that I could only stomach about half of it.  I was super hungry when I got here, but I lost my appetite eating the sandwich.  The fries were okay, and were mainly what I filled up on.

I heard the waiter tell someone that everything on the menu is good.  Not true!  The Reuben sucks!  Don't get it!  However, everything else looks good and I still want to give Hash House A Go Go another shot to see if it is really worthy of the hype."
24,Hash House A Go Go,1,"Just had our first experience here and it was very poor. We waited 40 minutes for a table, 30 minutes for our food and 20 minutes to check out (after explaining we were tight on time). After disappointing food and service, we would not go back."
25,Hash House A Go Go,4,"Hash House A Go Go is completely Vegas.

Everything is bigger and better and visually stimulating. The portions are beyond big...they are massive. The restaurant is on its own floor. The place is always packed and you wait and wait for your food. We probably waited over an hour for a single dish....but at least the Bloody Marys are wonderful. Bacon sea salt on the rim is fantastic! 

Service was horrible. They exhumed bitchiness. It really didn't kill the experience though. The food was what it was about here. 

We ordered the Smoked Salmon Farm Benedict. Its starts with grilled mash potatoes, an amazingly soft and yet crunchy biscuit, shredded salmon, crushed red peppers, spinach, and two eggs. All covered in chili cream sauce and asparagus spears. We couldn't even eat half of it. 

Vegas and gluttony at its finest."
26,Hash House A Go Go,5,"A must go to every time we are in Vegas. The pancakes are the bomb. The banana brown sugar one is where it's at! I've had dinner and brunch, and everything has been good-but always wish i would just get the pancakes! 
Love the bloody Mary's!
Try to share plates-it's just so much food. Three people
Could honestly share one entree"
27,Hash House A Go Go,5,"Awesome Awesome...

My husband and I went here and was presently surprised that the escalator ride up to the resturant is like entering a completely different dimension than the casino in the Imperial... The menu is decadent from start to finish, the portion sizes are huge, food is tasty...Kudos to the Mimosas!

I ordered the french toast and he ordered the chix and waffles. Awesome Awesome! My suggestion is to come hungry and with a group because you may want to share.. There was a wait but it was well worth it!"
28,Hash House A Go Go,3,"The food is decent. The portions are huge. I had the crab Benedict and it's enough for a small army. Asparagus that comes with it was good, but the biscuits were too heavy for my taste."
29,Hash House A Go Go,5,This place is seriously amazing after a lengthy wait due to our large party we were seated I ordered a blt mary.  Nothing like getting a sandwich inside your drink ...you must be patient especially if you have a bigger table but everything is 100% worth it hands down one of the best places I've ever been to !!!
30,Hash House A Go Go,1,"Don't go there if you have other choice, they make you wait an hour when there are many tables availeble, food is really bad too"
31,Hash House A Go Go,1,Went here on Monday for a birthday brunch for my girlfriend and our entire party (8 people) came down with food poisoning!!!!!!  Ruined our trip to Vegas!!! Never eating here EVER AGAIN!!
32,Hash House A Go Go,5,"This place has HUGE portions and the food is great! My husband got the tractor tire pancake and it's huge! The Bloody Mary's were flavorful and the ""large"" mimosa is very large and comes in a leg cup"
33,Hash House A Go Go,5,"We are fans and when we're in Vegas...we're making a stop just for Hash House. We were staying at the LINQ, so it was really convenient for us. We didn't know what to expect. We were a group of 3 and we got in right away, which was really surprising. When we left, there was quite the line. The earlier, the better. I ordered the Trucker's Special, which included one of their giant pancakes (it's literally the size of two plates!) and it came with eggs and sausage/bacon. The price wasn't bad, it's pretty reasonable. I also ordered their Famous Smore's Mocha...best decision ever. It's $8.99, but oh my is it good. My husband and our friend ordered some skillet scrambles and they loved them, no complaints at all. All of their stuff is fresh and their homemade strawberry jam is to die for. They also have some signature ""hard"" drinks, as well as nitrogen brewed coffees and freshly squeezed juice. If you're in the area, definitely try this place!"
34,Hash House A Go Go,4,"Well after making sure to avoid the restaurant nearby sponsored by one Guy Le Douche (I mean Fieri) we made our way to Hash House A Go Go.

The portions at this place are massive and they love to stick giant branches of rosemary into your food - that's cool I guess.

Anyway, this place is good ol comfort food done right.  Meatloaf was delicious, mashed potatoes nice and whipped. It hit the spot...  For once I found a place that didn't seem overpriced and under flavored like most of the more affordable options on or near the strip.

My only regret is that entire half of a meatloaf sandwich went to waste since the refrigerator in my hotel room was too damn small to fit all our food in - ugh."
35,Hash House A Go Go,1,"Don't come if you are in a hurry. 45 minutes to get seated and 30 minutes more to get food after placing the order. This is a popular place and is packed. Luckily they make great Bloody Mary's that can make the long waits bearable.

I had the fried chicken Benedict hash which is one of their specials. BEWARE, they do scrambled eggs rather than poached eggs which makes this anything but Benedict IMHO.  Also, it LOOKED BETTER than it tasted. Trying a signature dish, I expect to be wowed. The only wow on this dish was the portion size. 

My wife had one of their scrambles and it was nothing special either. 

We won't be returning or recommending it to friends."
36,Hash House A Go Go,4,"Probably one of the cheaper places to eat in Las Vegas.

We came in on a Wednesday morning and there was a 20 minute wait for two people. Food was good (my biscuits were a bit stale) and portions are huge.

Would come back though"
37,Hash House A Go Go,4,"Warning! Huge portions.....  cool place, good food, and friendly service.... 
Recommend..."
38,Hash House A Go Go,4,"I loved it so much, I ate here twice in one visit to Vegas!!! I had Andy's Sage Fried Chicken for breakfast.... (This was the one on Man Vs. Food) and it was amazing and a lot of food... If you are coming here, bring your appetite!!!"
39,Hash House A Go Go,4,"You never have to walk around hungry in vegas, and the latest addon to join in central strip is this 24-hour chain. Located inside Quad, soon to be Linq Hotel, you will see a escalator right in the middle of the Casino floor, which will bring you to the goodies upstairs. 

Menu will leave you with a lot of different options and new flavors. And if you never been, you should ask for some suggestions or maybe go with the marked favorites. Its a laidback atmosphere overall and you shouldnt have to bring your fanciest wig to stay safe (Although you can, since its vegas).

Whichever you decide to order, you will not be served an ordinary dish. It will be presented in a magnificent way, probably somehow include waffles even if its main, and HUGE! But dont be intimidated by the size of the portion, this is the place where you dont have to be afraid of asking for a doggy bag.

Prices are cheap, service is cool and the place is opened 24/7...
How could you complain?"
40,Hash House A Go Go,5,"This is the greatest COMFORT food spot ever! The way they created fusion dishes were so impressive. The only thing I can complain about is how long it takes to get the food. I immediately got over it as soon as I took my first bite of my dishes. My buddy and I ordered the Watermelon lemonade, which was delicious btw. The plates we got were the Andy's sage fried chicken and waffles. We also got the Sage Chicken Benedict. Both dishes were amazing. The meat was juicy, lightly breaded, great sauce on both dishes, and made to make your heart melt. I love you Hash House! 

Recommendation: Watermelon lemonade, Andy's sage fried chicken and waffles, and sage chicken benedict."
41,Hash House A Go Go,2,Disappointed this time. Went to Quad location. Our salads came out the same time as our food. The food quality seems like it's gone down since we last visited. I like the Sahara location better overall. This location didn't have the same feel.
42,Hash House A Go Go,3,"Huge huge portions so I would suggest to share rather than get your own plate. Although portions were a lot, taste of food was not worth it. Wasn't a fan. Very bland and rather tasting the chicken waffle, all I tasted was the sage they stick right in there. Food was nice to look at, but we didn't even finish or take our food to go. Honey biscuits were prolly the best thing I ate there."
43,Hash House A Go Go,3,"I'm not a huge fan but my friends are so I have to go when i'm in Las Vegas.
-Insanely enormous portions(hope you're hungry).
-Sort of expensive in my opinion.
-Jam packed crowded  almost all of the time.
-Open 24 hours.
-Food is decent but not remarkable.
-Bloody Mary's are awesome but pricey.
-Depressing windowless environment with strange fluorescent lighting.
-Service is good.
Definitely worth stopping in & checking it out."
44,Hash House A Go Go,5,"There are not enough words in the English language to explain how very much I loved this place.  So incredible.  The food, besides being very homey, comforting and delicious, was PURE ARTWORK on a plate.  Would go back in a NY second.  Wish we had a location out here in the Tampa Bay area.  Oh and the Bloody Marys are to die for and I am not usually a big Bloody Mary fan!"
45,Hash House A Go Go,1,"Had a horrible experience! Was seated in a area that staff knew the waitress Terry was on a break. We were ignored by wait staff and when asked for the manger Kevin to ask why we haven't been helped, he was so rude about it we left. I returned to ask for his supervisors name and to voice my disappointment on how he handled the situation as a manager, he gestured to get out and he would call security. Minutes later he was in the Linq lobby arguing loudly with another customer and staff member. He Later accused us of stealing a broom and dust pan. Staff were shocked and told me that his comments on us being a thief was so racist. Complaints are filed and authority called. Manager is the worst!!"
46,Hash House A Go Go,1,"worst service ever, waited forever to get a waiter, and hate the owner's atittude, we had to leave because of this bad experience!"
47,Hash House A Go Go,4,"Portions= HUGE 

Brown sugar banana pancakes= BOMB

Prices= REASONABLE 

location= right inside the LINQ!

Wait time? = SHORT. 

Party for 7, said it'd be a 35 minute wait. 5 minutes later and they called us in!
Our server was awesome."
48,Hash House A Go Go,5,Honestly the food is amazing and the proportions are amazing! The speed for how busy they were was on point and the steak was amazing the eggs were done right and the mashed potatoes was to die for! Highly recommend the steak and eggs !!!
49,Hash House A Go Go,4,"This place is cool. They have nice specialty drinks. I had one of their bloody Mary's. Pretty good. It featured a pickled green bean, jalape̱o stuffed olive and lemon. The base was spicy but not over the top. I enjoyed it. For breakfast, I had a hash made with chicken, asparagus, garlic and other veggies. It was pretty good but, in my personal opinion, it wasn't really a hash. The ingredient combinations was slightly off. One friend got the French toast and he enjoyed it. Two of my friends had the Andys Benedict. By far, the Andys Benedict was the star. All food portions were HUGE but the Benedict was crazy large and packed with flavor on every bite. Honestly, it very easily shared. Two people could eat the Benedict and be full. Wait staff was mediocre but overall it was not a bad experience."
50,Hash House A Go Go,4,This place is a bit of a novelty. The portions are ridiculously big and the menu is pretty unique. It's definitely worth checking out to say you ate a 3lb meatloaf garnished with a pine tree in it.
51,Hash House A Go Go,2,"The food was good, not great but the service was so bad and slow.  Took 45 minutes and they forgot one of our meals.   Portions are so large it is gross."
52,Hash House A Go Go,5,"Giant portions, fun loud atmosphere, great service, and good food.  It was very busy when we went, so we had to wait about 15 minutes for our table.  Try the Chicken and Waffles!"
53,Hash House A Go Go,3,"Located on the Las Vegas Strip, to the Linq Hash House A Go Ho is a very infamous breakfast hotspot in Las Vegas. Being a chicken and waffle fan, I absolutely had to see what the rave was about on their chicken and waffle dish. Their menu didn't really offer a wide variety, however they did have chicken and waffles and burgers. I ordered both. The food comes in very large portions; so unless you have a huge appetite, I'd probably recommend sharing since the meals go about $20 bucks a plate. Needless to say, the chicken and waffle kind of disappointed. It was very well presented, however coming from Texas we have way better chicken. This chicken tasted really bland and kind of tasteless. A thing that I thought was cool however, was that they battered their waffle mix with bacon and cook it into the waffle.
The burger was more enjoyable than the chicken and waffle. 
Overall, pretty decent meal on the strip and great that it's open 24/7. I believe we came here around 3 an after gambling at Planet Hollywood. This is a good restaurant that's close by and that's opened and is not a good stand. However you're probably better off saving money and your stomach at a food stall open around. I hope if I come back to five it another chance that Hash House A Go Go will not disappoint."
54,Hash House A Go Go,4,My husband and I found this place which serves a good breakfast with large potions instead of over eating at a Buffett!   The price was pretty reasonable too!
55,Hash House A Go Go,5,"This place has a long ass line for a reason! It's been about 2 years since I've been here (unfortunately didn't go on my trip a few months ago) but I've yet to forget about how tasty the breakfast food was that I ate.

I can't even really remember my exact dish but I do recall it having some huge, delicious pancakes. I also remember thinking about how the long wait was all worth it when my food came out.

The fact that I'm writing a review about my experience two years later should tell you something about how great it is. I probably won't be back until 2019 :(...... call ahead, get there early, whatever it takes for you to try this place!"
56,Hash House A Go Go,5,We can't come to Vegas and not eat breakfast at Hash House. Beware the portions are HUGE! Ask for some homemade jam for your biscuit; on the day I was there this week they served peach jam. It was out of this world.
57,Hash House A Go Go,5,"One of my favorite meals during my trip in Vegas. Luckily we didn't have to wait long as we came on a weekday during lunch. We waited probably around 10 minutes. Be warned, the portions are as big as your head. As 5 small Asian girls we knew this before coming in and yet we still couldn't help ourselves and ordered a dish each. My favorites were the Andy's sage fried chicken Benedict and the brown sugar banana pancake. The chicken, the chipotle sauce and the mash potatoes all went so well together. The pancake was the best pancake I ever had. It was just so fluffy and thick with plenty of bananas mushed in it. My friend didn't like her country fried chicken steak but other than that everything else including the fried chicken and waffle dish was delicious. And of course we didn't finish our food. Can't wait to come back here again!"
58,Hash House A Go Go,5,"The sage-fried chicken bacon waffle bomb with fried leeks is one of the best things I've eaten on Earth. It's the most decadent, delicious, over-the-top, quintessentially Vegas thing you could imagine. No hangover would stand a chance against it. It took me almost a full day to recover from it. And I may have gone temporarily diabetic from it. All good. First place I'd go to next time I hit Vegas. It's when you find the bacon in the waffle after a couple bites of the perfect fried chicken that you realize you're high on food and that there might be a God. And he likes eating.

Only drawback is it's kinda hidden, in the second floor of a casino and has no windows or a view, feels a little too boxed in. Still not enough to even diminish the score."
59,Hash House A Go Go,4,"Was packed on a Sunday afternoon.  Glad we came though.  Had Andy's chicken and waffle.  Bacon was infused in the waffles, so you can't go wrong.  The chicken had a sage flavor to it, and was nicely breaded.  The breading actually stayed on the chicken as you cut it, instead of falling apart.  Our waiter Jason was pretty cool.  It was busy, and you can tell he was in a rush, but took the time to split our checks.  Definitely a good stop for a foodie.  Portions are huge like everyone says.  I think 2 plates could have fed us 5 guys.  Try it out."
60,Hash House A Go Go,4,"The food here is fantastic!  The portion sizes are huge (chicken and waffles could have fed two people!)   Our server took forever to greet our table, but once she got settled all was good.  One of my fave breakfast spots in Vegas!"
61,Hash House A Go Go,2,"Was so looking for a great bacon breakfast......  I love bacon, heard this place was a great place to go for it.  First off, waited almost 50 minutes to get a table, then told it would be 35 minutes to get our food because it's all prepared fresh.  45 minutes later my food came, no bacon and no food for my bf.  Told waiter no bacon,  when he does bring it, it's cold and greasy like it had been sitting in a precooked pile for some time.  Asked him to crisp it up, brings back the same bacon still cold, greasy and not crisp.  Third trip, no change we told him to forget it as I had already finished the rest of my food.  Like I said, came for a bacon breakfast, we emphasized this, how we wanted it cooked etc., did not seem to matter.  I will say the other food;  eggs, potatoes, and pancake were decent and would have been fine if the bacon was good and the service and time factor (total of 3 hours for a breakfast) were significantly better.  Overall, a very bad experience for my fist time in Vegas.  Would not go back.  Btw, they did charge us for the bacon."
62,Hash House A Go Go,3,"We came for breakfast and got our food at lunch time. It was a Monday morning and the wait for 2 was about 45 minutes. We ordered right away (since we had plenty of time to mule over the menu) and waited for another 45 minutes for our food to come out. 
When you wait that long for your food you would expect the food to be hot...nope! Food was heat lamp warm and it was okay. Very disappointing since everyone raved about this place. 
I had the French toast combo and my partner in crime had the Andy's sage fried chicken. You do get a lot of food for your money but it's just not worth the wait. While waiting we saw so many people go up the elevator, turned around and went back down because they saw the line. 
I'm glad I checked it out because now I can say I did and am not coming back."
63,Hash House A Go Go,2,Giving two stars because it took a LONG time to get seated with the restaurant not busy at all. And get seated with no menus. Food is fresh and big portions but you pay the price.
64,Hash House A Go Go,5,"The Fried Chicken Eggs Benedict was amazing. Way too much food but so worth it. The service was mediocre; they weren't too friendly and it felt like our host and waiter were rushing us the entire time, but the food made up for it."
65,Hash House A Go Go,5,"This place rocks!!! Talk about a hearty meal with all the flavors!! Usually when you find a restaurant that serves large portions, the taste is compromised... but not Hash House A Go Go!!! 

We ordered the Sage Benedict which is featured on Man vs Food! It was incredible. We of course had to split it because the portion was large enough to feed an army! The only thing I cant's stand is when restaurants charge a split plate fee. I don't understand why they do this. They aren't wasting anymore food on you or are you costing them anymore money. It doesn't make sense and Hash House A Go Go charges you for splitting. Annoying!

But overall the mean was AMAZING!!!!!"
66,Hash House A Go Go,3,"The food here was great! Large portions and very delicious. But the service and ambiance is terrible. The restaurant is cramped and dark and dingy, not the kind of place I would want to eat breakfast at. The waiter asked my husband if he would like some gravy on the side for his meal, his tone and manner implied that this extra would be complimentary, we latter saw on the bill that it was not. $4.50 for the smallest side of gravy ever. My biscuits and gravy was supposed to come with two biscuits but is was just one cut in half, not cool hash house. And the cherry on top was when it came time to pay the bill the card reader was broken. They asked us to pay in cash and we had none so they tried to make us use the ATM downstairs which was not free obviously. After much waiting we finally got them to take our payment by card the old fashioned way with carbon paper. They didn't offer us any discount or coupon for our trouble and were very inattentive during the whole process! So all in all it was great food but they aren't straight forward or clear about the costs and what comes with your meal and don't seem to care much for customer satisfaction."
67,Hash House A Go Go,3,"I was in search of a neutral location for a family ""reunion"" of sorts and our original idea was a brunch type venue. I've heard various things about Hash House A Go Go but more or less the reviews were great. 

I have nothing spectacular to report about the service but I'm appreciative to the wait staff that allowed my crazy Italian family and I plenty of time to catch up (thanks!). 

The food. WOW! Talk about HUGE portions! I ordered the chicken salad ""sandwich"" with mac and cheese as my side. I must say, the mac and cheese was some of the best fatty food I've had in a while! The chicken salad was dwarfed by the extremely large pieces of Texas toast it was jammed in between. 

All in all, my family enjoyed their selections and I thoroughly enjoyed the mac and cheese portion of my meal. 

I would definitely visit this fine establishment again, I probably wouldn't order the chicken salad sandwich though...just sayin ;)"
68,Hash House A Go Go,4,"So, this review just popped up on my FB news feed from last year's Vegas vacation. 

We spent a week there and the Hash house was our best meal. We Love to eat and drink we love Vegas. We took the advice of a few friends of sheer to dine. Needless to say, we won't do that again, instead, we'll follow the yelpers!

I remember the wait was ridiculous and rightfully so, the food was amazing and the mocha was to die for. Our server just kept them coming. When I go to Vegas, I don't really like to eat at the typical fancy places, I like to go where I know I'm getting the best food and service. The go go did not disappoint. Looking forward to seeing you guys again this year."
69,Hash House A Go Go,4,"Had dinner here with friends. Drinks were great- I had the spiked watermelon lemonade cocktail. Portions were huge and shareable. We ordered the chicken and waffles, chicken pot pie, and fried green tomatoes stack- nest bang for your buck!"
70,Hash House A Go Go,4,"I initially was very excited to check out a restaurant on man vs food. Overall had a great experience with the waitress's customer service and food quality but just had two minor mishaps. First off the front hostess was busy talking to her friend that she ignored us for the first 3 minutes even though there was no line. After being seated initially we were greeted by a very friendly waitress who was very knowledgeable of the menu and made recommendations. I ordered the fried chicken Benedict (featured on man v food) and my friends ordered burgers. First off the portions are very large, I'm a Farely robust male myself but finished 25 percent of my meal. The negative aspect was my friends had wax paper in his burger which I didn't expect from such a renown restaurant. Luckily the chef made the burger again himself and brought it out to us apologizing and comped my friends burger. I was very impressed with his way of approaching the situation and the rest of the meal was pleasing. Will return but had to deduct a star for such an elementary mistake. Prices are fair ranging from 12-25 dollars and very family friendly and will return."
71,Hash House A Go Go,5,"Always a reliably good LARGE meal from this lesser known chain of restaurants.  Seriously the portions are enormous, share your meal and tip well.  Even the child portions are more than most adults would eat.

The wait to get seated was about 20 minutes even though it was 7am in LV.  Once we were seated, the food came very quickly. My brother went at 1am the same morning and waited close to 45 minutes, so basically it seems they are always busy.

There is much more ""elbow room"" in this location compared to their San Diego location, which I really appreciated."
72,Hash House A Go Go,5,"Sooo Good!
Chicken & Waffles, Bacon Pancakes I had the bacon waffles and corned beef h"
73,Hash House A Go Go,5,Omg I needed a stretcher to get me out of there! Food was amazing! You def can NOT finish your plate in 1 seating! I would definitely recommend this place to anyone who loves good food!
74,Hash House A Go Go,5,"So much food! I got a stuffed burger with bacon and mashed potatoes. It was so good. I don't think you can make any bad choice's, huge portions and delicious food. Friendly staff, open 24/7."
75,Hash House A Go Go,4,This place is A M A Z I N G!!!!!  There take on food is genius!!!  The Sage Chicken and Waffles is a MUST!!!!
